Date,Open,High,Low,Close,Volume,Adj Close
07-10-16,14.7,14.71,14.26,14.46,3082100,14.46
10-10-16,14.45,15,14.45,14.77,2616000,14.77
11-10-16,14.77,14.77,14.77,14.77,0,14.77
12-10-16,14.77,14.77,14.77,14.77,0,14.77
13-10-16,14.95,15.32,14.6,14.72,3496000,14.72
14-10-16,15,15,14.46,14.62,2718700,14.62
17-10-16,14.55,14.59,14.3,14.37,2595700,14.37
18-10-16,14.42,14.54,14.3,14.36,3155200,14.36
19-10-16,14.46,15.32,14.36,14.8,25956300,14.8
20-10-16,15.14,15.35,15,15.1,5324700,15.1
21-10-16,15.25,15.29,14.76,14.81,2831400,14.81
24-10-16,14.98,14.98,14.76,14.81,2258700,14.81
25-10-16,14.8,14.9,14.6,14.65,2237500,14.65
26-10-16,14.75,15.19,14.58,14.72,3461300,14.72
27-10-16,14.75,14.85,14.52,14.61,2358700,14.61
28-10-16,14.7,15.3,14.56,15.16,3791400,15.16
31-10-16,15.16,15.16,15.16,15.16,0,15.16
01-11-16,15.5,15.52,15.1,15.13,3459500,15.13
02-11-16,14.9,14.9,14.66,14.74,3626000,14.74
03-11-16,14.74,14.84,14.55,14.6,2634100,14.6
04-11-16,14.75,14.75,14.25,14.32,3536700,14.32
07-11-16,14.49,15.1,14.4,14.76,4417600,14.76
08-11-16,14.84,14.87,14.51,14.62,2090400,14.62
09-11-16,13.55,14.35,12.47,14.25,9318200,14.25
10-11-16,14.5,15.14,14.27,15.03,6609700,15.03
11-11-16,14.9,15.24,14.46,14.56,6139000,14.56
14-11-16,14.56,14.56,14.56,14.56,0,14.56
15-11-16,16.15,16.15,15.04,15.33,17197700,15.33
16-11-16,15.55,16,14.7,14.82,8302700,14.82
17-11-16,14.9,15.1,14.45,14.52,2832400,14.52
18-11-16,14.51,14.89,14.43,14.78,3466700,14.78
21-11-16,15,15,13.86,13.97,3593100,13.97
22-11-16,14.25,14.25,13.76,14.08,4252100,14.08
23-11-16,14.22,14.32,14.08,14.21,3333500,14.21
24-11-16,14.15,14.72,13.95,14.35,4346600,14.35
25-11-16,14.5,14.65,14.33,14.58,1891400,14.58
28-11-16,14.65,14.96,14.48,14.87,1849300,14.87
29-11-16,14.9,15.1,14.76,14.82,1548800,14.82
30-11-16,14.8,14.94,14.66,14.78,4290600,14.78
01-12-16,14.9,15.04,14.6,14.82,3326900,14.82
02-12-16,14.85,14.88,14.55,14.62,3336500,14.62
05-12-16,14.65,14.76,14.57,14.62,1426000,14.62
06-12-16,14.65,14.83,14.54,14.61,2162700,14.61
07-12-16,14.62,14.75,14.5,14.54,2167000,14.54
08-12-16,14.6,15.15,14.6,14.96,2623800,14.96
09-12-16,15.14,15.15,14.7,14.78,3727500,14.78
12-12-16,14.7,14.86,14.61,14.64,2510400,14.64
13-12-16,14.64,14.75,14.56,14.71,1453400,14.71
14-12-16,14.71,14.75,14.42,14.45,2315500,14.45
15-12-16,14.5,14.5,14.3,14.39,2313400,14.39
16-12-16,14.4,14.49,14.28,14.41,1614800,14.41
19-12-16,14.45,14.45,14.25,14.3,1745200,14.3
20-12-16,14.31,14.36,14.11,14.15,1347700,14.15
21-12-16,14.25,14.25,14.02,14.04,1602700,14.04
22-12-16,14,14.2,13.77,14,18747300,14
23-12-16,14.05,14.2,13.91,13.97,1928900,13.97
26-12-16,13.98,13.99,13.67,13.7,1934700,13.7
27-12-16,13.7,13.85,13.65,13.78,1725700,13.78
28-12-16,13.87,13.87,13.61,13.66,2205800,13.66
29-12-16,13.75,13.75,13.62,13.69,1933400,13.69
30-12-16,13.72,14.01,13.7,13.82,3261000,13.82
02-01-17,13.9,14.17,13.83,14.09,2315700,14.09
03-01-17,14.05,14.34,14.05,14.22,2384400,14.22
04-01-17,14.2,15.05,14.2,14.93,5569000,14.93
05-01-17,15.1,15.28,14.96,15.14,5684100,15.14
06-01-17,15.19,15.24,14.63,14.71,4477900,14.71
09-01-17,14.75,15.13,14.67,14.99,4276600,14.99
10-01-17,14.9,15.25,14.85,14.95,2938100,14.95
11-01-17,15.08,15.7,15,15.36,9588300,15.36
12-01-17,15.3,15.54,15.09,15.18,5191900,15.18
13-01-17,15.4,15.4,14.98,15.04,4194600,15.04
16-01-17,15.07,15.45,14.95,15.2,4773000,15.2
17-01-17,15.45,15.83,15.45,15.67,8258900,15.67
18-01-17,15.7,15.94,15.6,15.76,5823900,15.76
19-01-17,15.84,17.44,15.71,17.16,14317700,17.16
20-01-17,17.25,18,17.05,17.35,18699100,17.35
23-01-17,17.46,17.97,17.44,17.53,9994700,17.53
24-01-17,17.69,17.75,16.87,17.04,7777400,17.04
25-01-17,17.15,17.47,16.95,17.18,6313300,17.18
26-01-17,17.18,17.18,17.18,17.18,0,17.18
27-01-17,17.19,17.83,17.19,17.38,10301300,17.38
30-01-17,17.5,17.72,17.3,17.37,6648600,17.37
31-01-17,17.35,17.56,17.1,17.14,6040200,17.14
01-02-17,17.2,17.65,16.1,16.25,13058300,16.25
02-02-17,16.45,16.7,16.05,16.15,4068600,16.15
03-02-17,16.2,16.4,15.7,15.95,7299800,15.95
06-02-17,16.1,16.35,15.85,16,3558400,16
07-02-17,16,16.15,15.7,15.85,2588200,15.85
08-02-17,15.85,16.75,15.85,16.6,5900600,16.6
09-02-17,16.85,17.4,16.65,17.1,8218300,17.1
10-02-17,17.3,17.65,17.05,17.2,7616200,17.2
13-02-17,18.75,19.1,17.9,18.05,21563900,18.05
14-02-17,18,18.2,17.1,17.15,6788100,17.15
15-02-17,17,17.2,16.45,16.65,7655400,16.65
16-02-17,16.85,17.2,16.5,17.15,3811200,17.15
17-02-17,17.25,17.4,16.9,17,3783500,17
20-02-17,17.25,17.3,17,17.1,3031900,17.1
21-02-17,17.1,17.6,17.1,17.35,4226000,17.35
22-02-17,17.45,17.85,17.45,17.7,6246200,17.7
23-02-17,17.9,18.4,17.9,18.1,9042000,18.1
24-02-17,18.1,18.1,18.1,18.1,0,18.1
27-02-17,18.05,18.15,17.45,17.55,5843700,17.55
28-02-17,17.65,18.3,17.45,18.1,5550200,18.1
01-03-17,18.25,18.3,17.8,17.85,4117200,17.85
02-03-17,18,18.2,17.5,17.6,5003700,17.6
03-03-17,17.45,18,17.25,17.85,5278900,17.85
06-03-17,17.85,18.05,17.55,17.6,2952800,17.6
07-03-17,17.65,18,17.6,17.75,3394600,17.75
08-03-17,17.75,17.8,17.4,17.45,3382000,17.45
09-03-17,17.4,17.65,17.25,17.4,5097300,17.4
10-03-17,17.6,17.6,16.9,17.15,4167000,17.15
13-03-17,17.15,17.15,17.15,17.15,0,17.15
14-03-17,17.65,17.85,17.1,17.2,5526200,17.2
15-03-17,17.35,17.35,16.95,17.05,3695200,17.05
16-03-17,17.2,18.6,17.1,18.35,24368700,18.35
17-03-17,18.5,19.45,18.5,18.95,23687100,18.95
20-03-17,19,19.8,18.55,18.8,17208300,18.8
21-03-17,18.95,18.95,18.3,18.6,7869100,18.6
22-03-17,18.35,18.8,18.2,18.35,12406300,18.35
23-03-17,19,19.35,18.9,19,15285200,19
24-03-17,19.1,19.25,18.85,18.95,7400800,18.95
27-03-17,19,19,18.35,18.4,6519800,18.4
28-03-17,18.5,18.7,18.4,18.5,9541000,18.5
29-03-17,18.6,18.6,18.15,18.25,7359300,18.25
30-03-17,18.35,19.55,18.35,19.45,12294300,19.45
31-03-17,19.75,19.85,19,19.1,19031200,19.1
03-04-17,19.15,19.4,19,19.15,6153100,19.15
04-04-17,19.15,19.15,19.15,19.15,0,19.15
05-04-17,19.35,19.4,19.2,19.3,5646500,19.3
06-04-17,19.25,19.4,19.05,19.2,5844500,19.2
